disease,sex,dproj,yll,yld,daly
Stroke,F,225.8240089125,3224.6703345109,1237.2427275174,4461.9150716343
Stroke,F,1155.8488346915,6328.9596158807,1506.5909662636,7835.5519249315
Dementia,M,0,0,0,0
Dementia,M,0.4243724504,32.3545667014,0,32.3545667014
Dementia,M,0.4392978436,28.1561510865,0,28.1561510865
Dementia,M,1.1027275267,51.7930518029,7.9933904887,59.7865236004
Dementia,M,12.8884153388,414.2197699442,590.0041773322,1004.2219705938
Dementia,M,41.8065691765,943.2752528397,698.1294307329,1641.4065446009
Dementia,M,174.7651662297,2471.1721767468,1294.6373788324,3765.814972963
Dementia,M,1103.4192848226,7023.4553164968,4878.0625312669,11901.5178477638
Dementia,F,0,0,0,0
Dementia,F,0.3298643577,25.2341634567,0,25.2341634567
Dementia,F,0.303717651,19.4964550394,0,19.4964550394
Dementia,F,0.8459709988,39.9799186213,9.1195700787,49.0994358324
Dementia,F,11.6707428961,373.9592811512,785.925943184,1159.884503169
Dementia,F,42.4919227696,956.31190308,1007.1542699401,1963.4661730201
Dementia,F,212.4596138478,2968.3589755436,1900.7722851707,4869.12570544
Dementia,F,2581.3843082512,14134.6226362905,9391.3334310021,23525.9560672926
Diabetes,M,0.3174537853,26.9748650973,63.7682743603,90.7431394575
Diabetes,M,0.2928378246,21.9489421638,141.2230118729,163.1719103599
Diabetes,M,5.4609059305,335.4961907979,446.2165404438,781.7127312418
Diabetes,M,21.5886381813,1019.768138382,1214.5120662291,2234.2833134755
Diabetes,M,120.9649091747,4041.1056618065,3449.0724771443,7490.1799151587
Diabetes,M,141.1828401699,3271.8913855903,2086.6026790138,5358.4860433987
Diabetes,M,165.5128927234,2440.4028721538,1420.5926339468,3861.0036150337
Diabetes,M,234.7336056222,1494.11955123,895.5854197602,2389.7049709902
Diabetes,F,0.2833784311,24.0981226089,53.329053408,77.4269484786
Diabetes,F,0.3091524952,23.2082791456,129.3849154624,152.5929759693
Diabetes,F,4.0722762064,250.6786595551,398.2042889862,648.882267792
Diabetes,F,24.1185290702,1141.5938812697,1786.2272858641,2927.8177307342
Diabetes,F,62.3671769682,2070.6348820586,2371.8848027046,4442.5143534959
Diabetes,F,94.5787958419,2178.896223645,1761.0440596361,3939.9322643686
Diabetes,F,151.8058208622,2212.8665432283,1569.9305882524,3782.7971314806
Diabetes,F,314.9199760099,1724.3722761298,1254.9707772443,2979.343053374
Depression,M,0,0,1.2143230901,1.2143230901
Depression,M,0,0,1918.4834518098,1918.4834518098
Depression,M,0,0,5910.1027369202,5910.1027369202
Depression,M,0,0,7687.1326219946,7687.1326219946
Depression,M,0,0,7336.546439505,7336.546439505
Depression,M,0,0,2506.8767920727,2506.8767920727
Depression,M,0,0,1087.3467082188,1087.3467082188
Depression,M,0,0,720.6770873752,720.6770873752
Depression,F,0,0,2.013044686,2.013044686
Depression,F,0,0,3078.0589945581,3078.0589945581
Depression,F,0,0,9196.9454101711,9196.9454101711
Depression,F,0,0,12384.7312262719,12384.7312262719
Depression,F,0,0,12530.3104835433,12530.3104835433
Depression,F,0,0,4718.2643042633,4718.2643042633
Depression,F,0,0,2320.3953587254,2320.3953587254
Depression,F,0,0,2093.2023754015,2093.2023754015
LungCancer,M,0,0,0,0
LungCancer,M,0,0,0,0
LungCancer,M,1.1187938806,68.7725470177,0.4450970684,69.2175014444
LungCancer,M,13.3643950646,611.4930717501,4.5881738579,616.0808761149
LungCancer,M,173.7371358401,5705.3574869392,53.9449386439,5759.2888878502
LungCancer,M,318.6894207718,7356.6232908052,92.4289021169,7449.0526758343
LungCancer,M,428.6886724575,6366.7704710088,110.3561198212,6477.1252129268
LungCancer,M,416.694984579,2652.3365997437,88.0805708683,2740.4111961864
LungCancer,F,0,0,0,0
LungCancer,F,0,0,0,0
LungCancer,F,0.8678466339,53.0346573195,0.5326681551,53.5674343945
LungCancer,F,25.918293127,1186.6062220421,9.7075935583,1196.3145795385
LungCancer,F,150.0924368796,4967.975781251,51.9420570682,5019.9216581576
LungCancer,F,270.0293156647,6222.6641614333,87.5325947146,6310.1887017424
LungCancer,F,386.5394264845,5722.1287815141,110.1656686628,5832.2870545224
LungCancer,F,455.4174625867,2493.6911365962,100.8619296389,2594.5469478287
IHD,M,3.3099233941,281.8763399914,4.8960263369,286.7730598933
IHD,M,1.3357605722,100.5164815743,19.697337345,120.2137322209
IHD,M,12.6790414716,793.2729556661,86.3171775836,879.5907810414
IHD,M,29.812881298,1422.543814825,93.2823840846,1515.8273391337
IHD,M,87.3825831148,2978.1100875156,167.2693514022,3145.3798413369
IHD,M,65.7939449335,1528.1962593021,94.7514767831,1622.9495709229
IHD,M,69.9060664919,1023.8479072881,68.0322522943,1091.8802678605
IHD,M,125.4197075295,798.3188291891,65.1173881705,863.4368130609
IHD,F,2.876111434,244.8423001602,2.169679525,247.0118547667
IHD,F,0.9630418082,73.240977199,8.1520964618,81.3930106929
