disease,sex,ageClass,burdenType,value
HHD,F,ageClass1,yll,617.2967102
HHD,F,ageClass2,yll,229.0316711
HHD,F,ageClass3,yll,1954.698198
HHD,F,ageClass4,yll,16084.55826
HHD,F,ageClass5,yll,62130.13306
HHD,F,ageClass6,yll,51044.72738
HHD,F,ageClass7,yll,56766.88063
HHD,F,ageClass8,yll,99725.02981
HHD,F,ageClass1,yld,2.518296681
HHD,F,ageClass2,yld,11.36413767
HHD,F,ageClass3,yld,135.5252185
HHD,F,ageClass4,yld,583.0017872
HHD,F,ageClass5,yld,2029.646321
HHD,F,ageClass6,yld,2013.61608
HHD,F,ageClass7,yld,2595.01415
HHD,F,ageClass8,yld,4733.743429
HHD,F,ageClass1,daly,619.8149754
HHD,F,ageClass2,daly,240.3970648
HHD,F,ageClass3,daly,2090.222822
HHD,F,ageClass4,daly,16667.59203
HHD,F,ageClass5,daly,64159.71284
HHD,F,ageClass6,daly,53058.28615
HHD,F,ageClass7,daly,59362.01429
HHD,F,ageClass8,daly,104458.9367
IHD,M,ageClass1,dproj,82.42690605
IHD,M,ageClass2,dproj,44.77370162
IHD,M,ageClass3,dproj,607.0701776
IHD,M,ageClass4,dproj,5516.080283
IHD,M,ageClass5,dproj,36631.94934
IHD,M,ageClass6,dproj,43815.88513
IHD,M,ageClass7,dproj,59281.40329
IHD,M,ageClass8,dproj,124558.9147
IHD,M,ageClass1,yll,7001.763518
IHD,M,ageClass2,yll,3374.947255
IHD,M,ageClass3,yll,37553.56158
IHD,M,ageClass4,yll,256402.7043
IHD,M,ageClass5,yll,1224894.299
IHD,M,ageClass6,yll,1015694.208
IHD,M,ageClass7,yll,866024.6922
IHD,M,ageClass8,yll,792841.7494
IHD,M,ageClass1,yld,61.78373705
IHD,M,ageClass2,yld,244.6061597
IHD,M,ageClass3,yld,6196.144192
IHD,M,ageClass4,yld,26125.9958
IHD,M,ageClass5,yld,92057.31975
IHD,M,ageClass6,yld,86397.23579
IHD,M,ageClass7,yld,77172.37176
IHD,M,ageClass8,yld,66115.30316
IHD,M,ageClass1,daly,7063.552724
IHD,M,ageClass2,daly,3619.546469
IHD,M,ageClass3,daly,43749.76731
IHD,M,ageClass4,daly,282528.1715
IHD,M,ageClass5,daly,1316951.128
IHD,M,ageClass6,daly,1102091.728
IHD,M,ageClass7,daly,943197.3571
IHD,M,ageClass8,daly,858957.0526
IHD,F,ageClass1,dproj,64.1506849
IHD,F,ageClass2,dproj,30.40420826
IHD,F,ageClass3,dproj,241.3431762
IHD,F,ageClass4,dproj,2038.202623
IHD,F,ageClass5,dproj,13305.80801
IHD,F,ageClass6,dproj,22222.0144
IHD,F,ageClass7,dproj,44467.03462
IHD,F,ageClass8,dproj,205816.6194
IHD,F,ageClass1,yll,5445.887441
IHD,F,ageClass2,yll,2311.471059
IHD,F,ageClass3,yll,14970.88415
IHD,F,ageClass4,yll,94822.29024
IHD,F,ageClass5,yll,442392.8113
IHD,F,ageClass6,yll,510439.6336
IHD,F,ageClass7,yll,639465.7116
IHD,F,ageClass8,yll,1126972.81
IHD,F,ageClass1,yld,23.95317727
IHD,F,ageClass2,yld,124.7958203
IHD,F,ageClass3,yld,4000.21158
IHD,F,ageClass4,yld,19338.75577
IHD,F,ageClass5,yld,70836.45396
IHD,F,ageClass6,yld,68647.99091
IHD,F,ageClass7,yld,68224.48835
IHD,F,ageClass8,yld,86958.71174
IHD,F,ageClass1,daly,5469.833492
IHD,F,ageClass2,daly,2436.270835
IHD,F,ageClass3,daly,18971.0987
IHD,F,ageClass4,daly,114161.006
IHD,F,ageClass5,daly,513228.9717
IHD,F,ageClass6,daly,579087.2425
IHD,F,ageClass7,daly,707690.2995
IHD,F,ageClass8,daly,1213922.328
InflammatoryHD,M,ageClass1,dproj,152.5338332
InflammatoryHD,M,ageClass2,dproj,60.68911128
InflammatoryHD,M,ageClass3,dproj,562.4801196
InflammatoryHD,M,ageClass4,dproj,1488.647448
InflammatoryHD,M,ageClass5,dproj,4049.566931
InflammatoryHD,M,ageClass6,dproj,3532.485887
InflammatoryHD,M,ageClass7,dproj,4416.006363
InflammatoryHD,M,ageClass8,dproj,7839.813326
InflammatoryHD,M,ageClass1,yll,12989.93164
InflammatoryHD,M,ageClass2,yll,4566.878274
InflammatoryHD,M,ageClass3,yll,35191.9558
InflammatoryHD,M,ageClass4,yll,71031.92066
InflammatoryHD,M,ageClass5,yll,138014.4154
InflammatoryHD,M,ageClass6,yll,82049.06582
InflammatoryHD,M,ageClass7,yll,64677.06024
InflammatoryHD,M,ageClass8,yll,49901.81144
InflammatoryHD,M,ageClass1,yld,225.6274771
InflammatoryHD,M,ageClass2,yld,894.9312646
InflammatoryHD,M,ageClass3,yld,3829.287607
InflammatoryHD,M,ageClass4,yld,4657.871931
InflammatoryHD,M,ageClass5,yld,7751.755669
InflammatoryHD,M,ageClass6,yld,5087.219726
InflammatoryHD,M,ageClass7,yld,4297.636445
InflammatoryHD,M,ageClass8,yld,4070.398326
InflammatoryHD,M,ageClass1,daly,13215.59108
InflammatoryHD,M,ageClass2,daly,5461.805599
InflammatoryHD,M,ageClass3,daly,39021.27214
InflammatoryHD,M,ageClass4,daly,75689.84953
InflammatoryHD,M,ageClass5,daly,145766.1897
InflammatoryHD,M,ageClass6,daly,87136.38405
InflammatoryHD,M,ageClass7,daly,68974.70353
InflammatoryHD,M,ageClass8,daly,53972.247
InflammatoryHD,F,ageClass1,dproj,132.4643358
InflammatoryHD,F,ageClass2,dproj,43.56191621
InflammatoryHD,F,ageClass3,dproj,197.4411339
InflammatoryHD,F,ageClass4,dproj,604.8499128
InflammatoryHD,F,ageClass5,dproj,1727.554315
InflammatoryHD,F,ageClass6,dproj,1826.729194
InflammatoryHD,F,ageClass7,dproj,2796.979047
InflammatoryHD,F,ageClass8,dproj,9421.734169
InflammatoryHD,F,ageClass1,yll,11276.6398
InflammatoryHD,F,ageClass2,yll,3312.958259
InflammatoryHD,F,ageClass3,yll,12347.89596
InflammatoryHD,F,ageClass4,yll,28811.83023
InflammatoryHD,F,ageClass5,yll,58568.6467
InflammatoryHD,F,ageClass6,yll,42217.14778
InflammatoryHD,F,ageClass7,yll,40552.59349
InflammatoryHD,F,ageClass8,yll,51589.64573
InflammatoryHD,F,ageClass1,yld,99.92838028
InflammatoryHD,F,ageClass2,yld,368.7492485
InflammatoryHD,F,ageClass3,yld,1585.58198
InflammatoryHD,F,ageClass4,yld,2447.974582
InflammatoryHD,F,ageClass5,yld,4895.49321
InflammatoryHD,F,ageClass6,yld,3765.824786
InflammatoryHD,F,ageClass7,yld,3394.855695
InflammatoryHD,F,ageClass8,yld,4615.30127
InflammatoryHD,F,ageClass1,daly,11376.56242
InflammatoryHD,F,ageClass2,daly,3681.704659
InflammatoryHD,F,ageClass3,daly,13933.46876
InflammatoryHD,F,ageClass4,daly,31259.89246
InflammatoryHD,F,ageClass5,daly,63464.09177
InflammatoryHD,F,ageClass6,daly,45982.93437
InflammatoryHD,F,ageClass7,daly,43947.43026
InflammatoryHD,F,ageClass8,daly,56204.97765
LungCancer,M,ageClass1,dproj,0
LungCancer,M,ageClass2,dproj,0
LungCancer,M,ageClass3,dproj,48.97314874
LungCancer,M,ageClass4,dproj,981.847953
LungCancer,M,ageClass5,dproj,14914.44696
LungCancer,M,ageClass6,dproj,25004.50887
LungCancer,M,ageClass7,dproj,27360.44473
LungCancer,M,ageClass8,dproj,21186.96056
LungCancer,M,ageClass1,yll,0
LungCancer,M,ageClass2,yll,0
LungCancer,M,ageClass3,yll,3010.392024
LungCancer,M,ageClass4,yll,44924.83333
LungCancer,M,ageClass5,yll,489775.84
LungCancer,M,ageClass6,yll,577203.8239
LungCancer,M,ageClass7,yll,406350.0688
LungCancer,M,ageClass8,yll,134858.7168
LungCancer,M,ageClass1,yld,0
LungCancer,M,ageClass2,yld,0
LungCancer,M,ageClass3,yld,19.48330726
LungCancer,M,ageClass4,yld,337.0814084
LungCancer,M,ageClass5,yld,4630.897836
LungCancer,M,ageClass6,yld,7252.011369
LungCancer,M,ageClass7,yld,7043.32237
LungCancer,M,ageClass8,yld,4478.478623
LungCancer,M,ageClass1,daly,0
LungCancer,M,ageClass2,daly,0
LungCancer,M,ageClass3,daly,3029.869087
LungCancer,M,ageClass4,daly,45261.88759
LungCancer,M,ageClass5,daly,494405.5757
LungCancer,M,ageClass6,daly,584455.8732
LungCancer,M,ageClass7,daly,413393.3033
LungCancer,M,ageClass8,daly,139336.8917
LungCancer,F,ageClass1,dproj,0
LungCancer,F,ageClass2,dproj,0
LungCancer,F,ageClass3,dproj,37.90056598
LungCancer,F,ageClass4,dproj,979.9146824
LungCancer,F,ageClass5,dproj,11227.24276
LungCancer,F,ageClass6,dproj,18250.03
LungCancer,F,ageClass7,dproj,20820.72408
LungCancer,F,ageClass8,dproj,19008.45995
LungCancer,F,ageClass1,yll,0
LungCancer,F,ageClass2,yll,0
LungCancer,F,ageClass3,yll,2316.127585
LungCancer,F,ageClass4,yll,44863.01831
LungCancer,F,ageClass5,yll,371615.4608
LungCancer,F,ageClass6,yll,420561.0319
LungCancer,F,ageClass7,yll,308219.1785
LungCancer,F,ageClass8,yll,104083.0271
LungCancer,F,ageClass1,yld,0
LungCancer,F,ageClass2,yld,0
LungCancer,F,ageClass3,yld,23.2626639
LungCancer,F,ageClass4,yld,367.0231451
LungCancer,F,ageClass5,yld,3885.379544
LungCancer,F,ageClass6,yld,5915.922409
LungCancer,F,ageClass7,yld,5934.010434
LungCancer,F,ageClass8,yld,4209.829679
LungCancer,F,ageClass1,daly,0
LungCancer,F,ageClass2,daly,0
LungCancer,F,ageClass3,daly,2339.395006
LungCancer,F,ageClass4,daly,45230.07034
LungCancer,F,ageClass5,daly,375501.1261
LungCancer,F,ageClass6,daly,426476.41
LungCancer,F,ageClass7,daly,314152.7906
LungCancer,F,ageClass8,daly,108292.6014
RespiratoryDisease,M,ageClass1,dproj,572.7774022
RespiratoryDisease,M,ageClass2,dproj,155.3285409
RespiratoryDisease,M,ageClass3,dproj,551.9154574
RespiratoryDisease,M,ageClass4,dproj,1452.330032
RespiratoryDisease,M,ageClass5,dproj,8662.132965
RespiratoryDisease,M,ageClass6,dproj,17131.70015
RespiratoryDisease,M,ageClass7,dproj,32101.65953
RespiratoryDisease,M,ageClass8,dproj,64259.85696
RespiratoryDisease,M,ageClass1,yll,48797.94765
RespiratoryDisease,M,ageClass2,yll,11788.57512
RespiratoryDisease,M,ageClass3,yll,34721.38171
RespiratoryDisease,M,ageClass4,yll,68667.71285
RespiratoryDisease,M,ageClass5,yll,286618.0819
RespiratoryDisease,M,ageClass6,yll,392183.5627
RespiratoryDisease,M,ageClass7,yll,466733.2814
RespiratoryDisease,M,ageClass8,yll,409025.2877
RespiratoryDisease,M,ageClass1,yld,20127.13106
RespiratoryDisease,M,ageClass2,yld,173158.9785
RespiratoryDisease,M,ageClass3,yld,213531.2832
RespiratoryDisease,M,ageClass4,yld,229209.3239
RespiratoryDisease,M,ageClass5,yld,332150.6463
RespiratoryDisease,M,ageClass6,yld,203468.4812
RespiratoryDisease,M,ageClass7,yld,151424.5089
