"disease","sex","ageClass","burdenType","value"
"Diabetes","M","ageClass6","deaths",50.2122466295842
"Diabetes","M","ageClass6","yld",742.108660022282
"Diabetes","M","ageClass6","yll",874.3603082514
"Diabetes","M","ageClass7","daly",949.059792369096
"Diabetes","M","ageClass7","deaths",50.0314554581734
"Diabetes","M","ageClass7","yld",429.4186145867
"Diabetes","M","ageClass7","yll",519.641177782396
"Diabetes","M","ageClass8","daly",513.297655943645
"Diabetes","M","ageClass8","deaths",59.484304842848
"Diabetes","M","ageClass8","yld",226.952063300083
"Diabetes","M","ageClass8","yll",286.345592643562
