sex,ageClass,burdenType,disease,value
F,ageClass2,yld,RTIs,28.09105097
F,ageClass2,yll,RTIs,231.347885
F,ageClass3,daly,RTIs,1502.999246
F,ageClass3,deaths,RTIs,21.8
F,ageClass3,yld,RTIs,149.0094705
F,ageClass3,yll,RTIs,1353.989776
F,ageClass4,daly,RTIs,928.5424746
F,ageClass4,deaths,RTIs,15.8
F,ageClass4,yld,RTIs,236.7423747
F,ageClass4,yll,RTIs,691.8000999
F,ageClass5,daly,RTIs,757.1656506
F,ageClass5,deaths,RTIs,18.6
F,ageClass5,yld,RTIs,249.4234176
F,ageClass5,yll,RTIs,507.742233
F,ageClass6,daly,RTIs,329.6628971
F,ageClass6,deaths,RTIs,12.8
F,ageClass6,yld,RTIs,111.7611076
F,ageClass6,yll,RTIs,217.9017896
F,ageClass7,daly,RTIs,161.571961
F,ageClass7,deaths,RTIs,7.6
F,ageClass7,yld,RTIs,87.49947346
F,ageClass7,yll,RTIs,74.07248752
F,ageClass8,daly,RTIs,86.74715613
F,ageClass8,deaths,RTIs,8
F,ageClass8,yld,RTIs,54.60449186
F,ageClass8,yll,RTIs,32.14266427
M,ageClass1,daly,RTIs,135.426378
M,ageClass1,deaths,RTIs,1.6
M,ageClass1,yld,RTIs,4.764611081
M,ageClass1,yll,RTIs,130.6617669
M,ageClass2,daly,RTIs,317.7735801
M,ageClass2,deaths,RTIs,3.2
M,ageClass2,yld,RTIs,81.96057661
M,ageClass2,yll,RTIs,235.8130035
M,ageClass3,daly,RTIs,2893.904678
M,ageClass3,deaths,RTIs,45.2
M,ageClass3,yld,RTIs,216.8173171
M,ageClass3,yll,RTIs,2677.087361
M,ageClass4,daly,RTIs,2259.419454
M,ageClass4,deaths,RTIs,42
M,ageClass4,yld,RTIs,510.5114527
M,ageClass4,yll,RTIs,1748.908001
M,ageClass5,daly,RTIs,2008.418125
M,ageClass5,deaths,RTIs,54.2
M,ageClass5,yld,RTIs,641.2936855
M,ageClass5,yll,RTIs,1367.12444
M,ageClass6,daly,RTIs,689.6036168
M,ageClass6,deaths,RTIs,27.6
M,ageClass6,yld,RTIs,292.6396693
M,ageClass6,yll,RTIs,396.9639476
M,ageClass7,daly,RTIs,249.7046985
M,ageClass7,deaths,RTIs,16.4
M,ageClass7,yld,RTIs,113.7673123
M,ageClass7,yll,RTIs,135.9373862
M,ageClass8,daly,RTIs,79.16176591
M,ageClass8,deaths,RTIs,11.8
M,ageClass8,yld,RTIs,35.46442225
M,ageClass8,yll,RTIs,43.69734367
